Vehicle Offences,Ealing,5542,,,4,10,10,8,6,11,4,4,7,7,13,4
,,,,,1,2,7,0,0,2,1,2,0,0,1,2
,,,,,2,2,1,3,3,1,4,8,1,2,3,3
,,,,,1,0,0,0,0,0,0,0,0,0,0,0
Violence Against the Person,Ealing,8605,,,3,1,1,1,2,1,3,0,1,1,1,3
,,,,,4,3,2,6,5,0,0,1,1,2,1,0
,,,,,5,1,1,1,1,1,2,3,2,0,1,0
,,,,,5,9,4,5,4,8,8,12,5,2,6,6
,,,,,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,9,14,10,10,6,14,12,11,10,10,10,10
,,,,,0,0,3,1,3,2,2,1,1,0,1,2
,,,,,2,2,0,3,2,1,3,1,3,3,1,2
,,,,,7,10,8,13,7,11,11,11,14,13,6,6
,,,,,18,9,14,14,18,21,22,19,16,28,18,10
,,,,,83,80,124,89,115,109,143,126,115,114,112,100
,,,,,23,25,40,30,30,35,37,35,23,29,36,25
,,,,,0,0,0,0,0,1,0,0,1,0,1,0
,,,,,6,5,6,8,4,5,8,8,11,6,12,12
,,,,,135,94,116,133,106,97,95,91,108,114,129,108
,,,,,33,40,44,32,40,28,36,31,28,29,39,39
,,,,,12,24,17,25,22,22,29,19,13,15,26,19
,,,,,22,18,20,24,18,32,41,34,24,19,23,11
,,,,,275,288,280,291,292,278,312,267,303,289,257,244
,,,,,93,98,110,111,118,96,90,93,109,78,102,112
,,,,,76,86,78,66,75,99,61,64,75,92,80,64
,,,,,5,4,4,1,6,2,2,3,1,7,2,4
,,,,,61,51,45,52,41,43,43,35,46,51,53,45
,,,,,260,214,238,237,208,207,226,190,273,300,228,228
,,,,,119,104,105,85,140,119,95,82,124,115,110,103
,,,,,0,0,0,2,0,0,2,0,0,1,1,1
,,,,,234,255,246,241,293,283,246,257,256,254,237,237
,,,,,449,453,505,427,466,480,546,447,453,543,451,489
,,,,,4,6,10,9,6,4,6,10,17,2,8,9
,,,,,158,138,173,148,146,161,152,179,159,199,178,135
,,,,,68,42,52,38,60,67,50,47,39,48,42,49
,,,,,214,183,225,145,169,146,139,140,167,197,223,199
,,,,,2,3,2,1,1,3,3,5,2,6,1,9
Arson and Criminal Damage,Enfield,2104,,,107,94,91,98,64,98,93,113,76,84,90,104
,,,,,0,0,0,0,0,0,0,0,0,0,1,0
Burglary,Enfield,3232,,,1,0,0,0,1,0,1,1,0,0,1,0
,,,,,0,0,1,0,0,0,0,0,0,0,0,0
Drug Offences,Enfield,1096,,,0,0,1,1,0,1,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,1,0,0,0,0
Miscellaneous Crimes Against Society,Enfield,402,,,0,2,0,0,0,1,0,1,2,1,2,1
Possession of Weapons,Enfield,276,,,1,0,0,1,2,2,0,1,3,0,1,0
,,,,,2,2,2,1,1,2,0,1,0,0,1,0
,,,,,2,7,10,9,9,4,3,6,7,8,6,4
,,,,,3,0,1,0,2,1,3,0,3,1,2,1
,,,,,3,1,1,0,3,2,2,4,2,0,1,2
Public Order Offences,Enfield,1577,,,1,3,1,4,1,1,3,0,2,1,0,1
,,,,,0,0,0,0,1,0,0,0,0,1,1,0
,,,,,0,1,1,0,0,0,1,0,0,1,1,0
,,,,,4,7,5,7,13,12,10,8,19,13,7,9
Robbery,Enfield,1720,,,0,0,0,0,0,0,0,0,2,1,2,1
,,,,,9,7,6,4,3,11,5,3,2,4,8,3
Sexual Offences,Enfield,632,,,0,0,1,2,0,1,0,0,0,1,1,0
,,,,,0,1,3,0,0,1,1,3,1,2,0,2
Theft,Enfield,5369,,,5,7,8,4,3,5,8,6,0,1,5,5
,,,,,19,7,13,13,11,14,15,13,18,8,9,10
,,,,,86,87,116,105,85,109,137,86,106,109,99,98
,,,,,16,16,17,20,22,16,26,20,29,21,24,20
Vehicle Offences,Enfield,6169,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,4,6,8,2,15,10,5,9,9,4,10,7
,,,,,33,31,21,36,39,29,31,26,27,37,64,44
,,,,,25,31,29,31,39,55,35,23,31,20,25,39
Violence Against the Person,Enfield,7999,,,24,13,13,20,15,13,11,5,20,20,11,15
,,,,,15,9,17,19,19,11,16,14,11,14,13,10
,,,,,228,230,200,231,237,180,233,256,186,193,218,191
Arson and Criminal Damage,Greenwich,2215,,,134,193,171,155,224,203,214,173,158,169,182,171
,,,,,34,52,20,43,35,33,34,28,38,39,47,46
Burglary,Greenwich,2531,,,0,2,2,0,5,3,6,3,0,4,2,4
,,,,,51,34,54,51,55,48,52,49,64,70,64,41
Drug Offences,Greenwich,1307,,,167,195,224,205,199,170,208,215,259,309,248,222
,,,,,101,68,65,79,88,88,78,95,85,90,80,74
Miscellaneous Crimes Against Society,Greenwich,423,,,0,0,0,0,0,0,1,0,0,0,0,0
