MajorText,Borough,AvgCrime2019
Miscellaneous Crimes Against Society,Kensington and Chelsea,150
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Kensington and Chelsea,129
,,
,,
,,
,,
Public Order Offences,Kensington and Chelsea,1254
,,
,,
,,
Robbery,Kensington and Chelsea,995
,,
Sexual Offences,Kensington and Chelsea,371
,,
Theft,Kensington and Chelsea,9561
,,
,,
,,
Vehicle Offences,Kensington and Chelsea,3929
,,
,,
,,
Violence Against the Person,Kensington and Chelsea,4253
,,
,,
Arson and Criminal Damage,Kingston upon Thames,946
,,
Burglary,Kingston upon Thames,1005
,,
Drug Offences,Kingston upon Thames,902
,,
Miscellaneous Crimes Against Society,Kingston upon Thames,174
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Kingston upon Thames,92
,,
,,
,,
,,
Public Order Offences,Kingston upon Thames,888
,,
,,
,,
Robbery,Kingston upon Thames,366
,,
Sexual Offences,Kingston upon Thames,370
,,
Theft,Kingston upon Thames,3512
,,
,,
,,
Vehicle Offences,Kingston upon Thames,1489
,,
,,
,,
Violence Against the Person,Kingston upon Thames,3481
,,
,,
Arson and Criminal Damage,Lambeth,2067
,,
Burglary,Lambeth,3194
,,
Drug Offences,Lambeth,2293
,,
Miscellaneous Crimes Against Society,Lambeth,462
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Lambeth,408
,,
,,
,,
,,
Public Order Offences,Lambeth,2177
,,
,,
,,
Robbery,Lambeth,1376
,,
Sexual Offences,Lambeth,1050
,,
Theft,Lambeth,10342
,,
,,
,,
Vehicle Offences,Lambeth,3657
,,
,,
,,
Violence Against the Person,Lambeth,9234
,,
,,
Arson and Criminal Damage,Lewisham,2157
,,
Burglary,Lewisham,2675
,,
Drug Offences,Lewisham,1464
,,
Miscellaneous Crimes Against Society,Lewisham,382
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
